id,arabic_word,frequency,english_translation,chinese_translation,status
996,الدائرة,64792,,,new
997,سلطنة,64713,,,new
998,وهذا,64683,,,new
999,الداخلية,64682,,,new
1000,عنه,64442,,,new
1001,الرسمية,64437,,,new
1002,البريطاني,64349,,,new
1003,إسبانية,64224,,,new
1004,بأنه,64201,,,new
1005,الكتب,64002,,,new
1006,كريكت,63895,,,new
1007,سطح,63731,,,new
1008,تنظيم,63681,,,new
1009,باكستان,63598,,,new
1010,مقابل,63533,,,new
1011,معدل,63515,,,new
1012,منهم,63388,,,new
1013,حي,63363,,,new
1014,الطائرة,63332,,,new
1015,دمشق,63314,,,new
1016,المكان,63305,,,new
1017,تشمل,63297,,,new
1018,رومانيا,63220,,,new
1019,الثقافة,63214,,,new
1020,السياسي,63158,,,new
1021,عهد,63127,,,new
1022,قوة,63087,,,new
1023,البيانات,63018,,,new
1024,للأمم,62983,,,new
1025,تستخدم,62977,,,new
1026,مسرح,62944,,,new
1027,علوم,62889,,,new
1028,المعهد,62852,,,new
1029,بحث,62848,,,new
1030,حارس,62836,,,new
1031,أيقونة,62785,,,new
1032,موضوع,62752,,,new
1033,الثورة,62725,,,new
1034,ليبيا,62585,,,new
1035,تشيلي,62541,,,new
1036,الشعب,62536,,,new
1037,السورية,62472,,,new
1038,القائمة,62447,,,new
1039,روايات,62364,,,new
1040,السابع,62354,,,new
1041,فرقة,62331,,,new
1042,ثقافة,62213,,,new
1043,روبرت,62035,,,new
1044,نطاق,61980,,,new
1045,هنري,61958,,,new
1046,موسيقيون,61936,,,new
1047,الثنائية,61900,,,new
1048,الأصل,61875,,,new
1049,عرف,61866,,,new
1050,الديانة,61839,,,new
1051,أشهر,61830,,,new
1052,المجموع,61812,,,new
1053,السعودي,61801,,,new
1054,مؤشر,61722,,,new
1055,معهد,61653,,,new
1056,الرياض,61637,,,new
1057,الكثير,61576,,,new
1058,أثر,61536,,,new
1059,مصطفى,61425,,,new
1060,القريبة,61252,,,new
1061,البطولة,61162,,,new
1062,ألماني,61145,,,new
1063,ألمانية,60877,,,new
1064,مسابقة,60820,,,new
1065,مقاطعات,60776,,,new
1066,الوصف,60722,,,new
1067,السابقة,60708,,,new
1068,كيمياء,60536,,,new
1069,رد,60515,,,new
1070,صاحب,60408,,,new
1071,معرفات,60407,,,new
1072,القرآن,60386,,,new
1073,برامج,60280,,,new
1074,نائب,60239,,,new
1075,الحدود,60204,,,new
1076,العسكري,60183,,,new
1077,الشرائية,60095,,,new
1078,قليلة,59990,,,new
1079,الكامل,59978,,,new
1080,دقيقة,59975,,,new
1081,النباتات,59929,,,new
1082,ويليام,59924,,,new
1083,بدور,59901,,,new
1084,بويكي,59737,,,new
1085,جد,59711,,,new
1086,التعليق,59678,,,new
1087,إليه,59625,,,new
1088,الأهلية,59606,,,new
1089,أهل,59528,,,new
1090,الحلقة,59481,,,new
1091,الأخيرة,59477,,,new
1092,الأبيض,59467,,,new
1093,التعديل,59444,,,new
1094,زواج,59373,,,new
1095,التالي,59364,,,new
1096,عربية,59362,,,new
1097,ترخيص,59357,,,new
1098,إطلاق,59343,,,new
1099,إصدار,59341,,,new
1100,طبعة,59316,,,new
1101,بريطانيا,59303,,,new
1102,تصميم,59293,,,new
1103,يهود,59267,,,new
1104,ميدالية,58988,,,new
1105,الحمراء,58944,,,new
1106,نيو,58816,,,new
1107,الجمهوري,58812,,,new
1108,وتوزع,58798,,,new
1109,اللجنة,58746,,,new
1110,أنجلوس,58575,,,new
1111,رسوم,58552,,,new
1112,تل,58512,,,new
1113,وأن,58497,,,new
1114,المجر,58497,,,new
1115,ظهر,58447,,,new
1116,الخدمة,58428,,,new
1117,جريدة,58426,,,new
1118,بول,58371,,,new
1119,فبلغ,58371,,,new
1120,توجد,58348,,,new
1121,الواقع,58253,,,new
1122,أوهايو,58243,,,new
1123,الأحمر,58184,,,new
1124,يستخدم,58174,,,new
1125,اتفاقية,58130,,,new
1126,الأراضي,58101,,,new
1127,الأبناء,58075,,,new
1128,مرمى,58038,,,new
1129,المالية,57974,,,new
1130,انحلالات,57917,,,new
1131,كندي,57880,,,new
1132,الإسرائيلي,57776,,,new
1133,مرصد,57658,,,new
1134,متحف,57648,,,new
1135,مقدم,57629,,,new
1136,سليمان,57511,,,new
1137,حياة,57368,,,new
1138,المشروع,57317,,,new
1139,الدفن,57283,,,new
1140,فصيلة,57240,,,new
1141,الحديثة,57157,,,new
1142,الدراسات,57119,,,new
1143,التصويت,56990,,,new
1144,تغيير,56952,,,new
1145,تبلغ,56767,,,new
1146,الـ,56436,,,new
1147,ملاحظة,56430,,,new
1148,تاون,56417,,,new
1149,رتبة,56354,,,new
1150,مرض,56321,,,new
1151,قوائم,56287,,,new
1152,الخصائص,56277,,,new
1153,يعيش,56252,,,new
1154,الجنوب,56223,,,new
1155,مواسم,56173,,,new
1156,الحي,56166,,,new
1157,البداية,56152,,,new
1158,البيض,56147,,,new
1159,السن,56142,,,new
1160,زمن,56103,,,new
1161,ومنشآت,56045,,,new
1162,كثير,55998,,,new
1163,الوحدات,55910,,,new
1164,حائزون,55907,,,new
1165,زيادة,55833,,,new
1166,طيران,55814,,,new
1167,انتخب,55781,,,new
1168,ميل,55704,,,new
1169,فيروس,55678,,,new
1170,أنحاء,55646,,,new
1171,صناعة,55560,,,new
1172,بحاجة,55508,,,new
1173,دليل,55489,,,new
1174,بلاد,55382,,,new
1175,عبارة,55368,,,new
1176,كواكب,55308,,,new
1177,المرحلة,55223,,,new
1178,تصفح,55169,,,new
1179,تحتوي,55147,,,new
1180,الوسط,55117,,,new
1181,الشمال,55087,,,new
1182,باشا,55081,,,new
1183,هجوم,55036,,,new
1184,سيناريو,55012,,,new
1185,الغربي,55009,,,new
1186,ذهبية,54993,,,new
1187,البحث,54947,,,new
1188,الخليج,54940,,,new
1189,تايمز,54938,,,new
1190,الإنتاج,54814,,,new
1191,الأرشيف,54670,,,new
1192,الشعبية,54623,,,new
1193,قوى,54578,,,new
1194,حياته,54480,,,new
1195,أذربيجان,54478,,,new
1196,راسلني,54444,,,new
1197,مقرها,54437,,,new
1198,جهاز,54405,,,new
1199,المحور,54401,,,new
1200,العقد,54350,,,new
1201,توماس,54302,,,new
1202,إيراني,54263,,,new
1203,بالقرب,54231,,,new
1204,السيد,54210,,,new
1205,تقديم,54157,,,new
1206,وعدد,54112,,,new
1207,القديم,54107,,,new
1208,مدير,54086,,,new
1209,عامي,53975,,,new
1210,الأسود,53945,,,new
1211,تعمل,53908,,,new
1212,يقوم,53875,,,new
1213,التعريف,53853,,,new
1214,الفرد,53803,,,new
1215,النشر,53783,,,new
1216,الأحداث,53782,,,new
1217,المسلحة,53710,,,new
1218,قامت,53667,,,new
1219,طويلة,53641,,,new
1220,بتاريخ,53597,,,new
1221,صنعاء,53587,,,new
1222,مفصلة,53581,,,new
1223,ممثلو,53567,,,new
1224,الإسرائيلية,53547,,,new
1225,تعيش,53537,,,new
1226,الهجوم,53535,,,new
1227,الجماعة,53533,,,new
1228,الأكاديمية,53526,,,new
1229,المتوسط,53478,,,new
1230,الإيطالي,53457,,,new
1231,وفقا,53434,,,new
1232,نهائي,53399,,,new
1233,الوزن,53379,,,new
1234,الموسوعة,53351,,,new
1235,علاء,53346,,,new
1236,قصر,53269,,,new
1237,المواد,53253,,,new
1238,المختارة,53198,,,new
1239,العائلة,53142,,,new
1240,لهذا,53065,,,new
1241,ناحية,53056,,,new
1242,المفتوحة,53048,,,new
1243,أصحاب,53024,,,new
1244,كلمة,53019,,,new
1245,المنزل,53016,,,new
1246,فلوريدا,52991,,,new
1247,يلعب,52985,,,new
1248,النتائج,52889,,,new
1249,المركزية,52774,,,new
1250,وبالتالي,52729,,,new
1251,كارولاينا,52705,,,new
1252,العرقي,52696,,,new
1253,الأندية,52673,,,new
1254,برشلونة,52612,,,new
1255,جيش,52581,,,new
1256,الاقتصاد,52568,,,new
1257,الأصلية,52561,,,new
1258,الأب,52527,,,new
1259,مباشرة,52463,,,new
1260,لقد,52428,,,new
1261,الطب,52399,,,new
1262,الج,52381,,,new
1263,المجال,52375,,,new
1264,نظر,52347,,,new
1265,بعضهم,52284,,,new
1266,أدناه,52272,,,new
1267,كوبا,52208,,,new
1268,كنيسة,52205,,,new
1269,التاريخية,52193,,,new
1270,ذكور,52104,,,new
1271,الإفريقية,52082,,,new
1272,التجارية,52037,,,new
1273,أهم,52012,,,new
1274,الحالية,52004,,,new
1275,المتعلقة,51952,,,new
1276,قصيرة,51836,,,new
1277,ذوي,51818,,,new
1278,مهمة,51816,,,new
1279,روما,51773,,,new
1280,الجهة,51732,,,new
1281,الموضوع,51717,,,new
1282,سرشماری,51671,,,new
1283,النطاق,51661,,,new
1284,تأثير,51584,,,new
1285,أغنية,51575,,,new
1286,أمر,51563,,,new
1287,استدعاء,51545,,,new
1288,السلطة,51456,,,new
1289,الشكل,51390,,,new
1290,متحركة,51361,,,new
1291,الفرق,51349,,,new
1292,الوطن,51337,,,new
1293,مهرجان,51326,,,new
1294,شيء,51308,,,new
1295,تص,51090,,,new
1296,فرجينيا,51048,,,new
1297,الخط,51015,,,new
1298,الدور,50935,,,new
1299,التالية,50934,,,new
1300,العصور,50849,,,new
1301,الموسيقى,50848,,,new
1302,الصور,50751,,,new
1303,أواخر,50750,,,new
1304,المدن,50726,,,new
1305,فنلندا,50715,,,new
1306,ملكة,50707,,,new
1307,يظهر,50657,,,new
1308,خان,50561,,,new
1309,السطر,50527,,,new
1310,تحقيق,50516,,,new
1311,ماساتشوستس,50456,,,new
1312,مسيرته,50423,,,new
1313,مجموعات,50366,,,new
1314,تأثر,50298,,,new
1315,المسلمين,50281,,,new
1316,ويمكن,50254,,,new
1317,الجليد,50225,,,new
1318,معرض,50200,,,new
1319,الأشخاص,50190,,,new
1320,ينتمي,50089,,,new
1321,يعمل,50076,,,new
1322,الهندية,50043,,,new
1323,العلمية,50007,,,new
1324,البرلمان,50005,,,new
1325,يعتبر,50001,,,new
1326,مجتمع,49952,,,new
1327,أقواس,49943,,,new
1328,العراقية,49866,,,new
1329,السلطان,49853,,,new
1330,اكتب,49819,,,new
1331,المباراة,49808,,,new
1332,الرجال,49801,,,new
1333,التجارة,49749,,,new
1334,يلي,49737,,,new
1335,الشرقي,49669,,,new
1336,الاقتصادية,49630,,,new
1337,طبية,49593,,,new
1338,دراما,49572,,,new
1339,الرفض,49564,,,new
1340,بشأن,49548,,,new
1341,كامل,49435,,,new
1342,معروف,49349,,,new
1343,الفني,49341,,,new
1344,دو,49286,,,new
1345,الوحدة,49176,,,new
1346,عسكري,49107,,,new
1347,لكنه,49104,,,new
1348,دبليو,49054,,,new
1349,تظهر,49048,,,new
1350,الفلكي,49021,,,new
1351,الفارسية,49018,,,new
1352,مكتبة,48993,,,new
1353,تقويم,48972,,,new
1354,تعتبر,48965,,,new
1355,يؤدي,48953,,,new
1356,الدكتور,48951,,,new
1357,النسخة,48929,,,new
1358,صدر,48926,,,new
1359,إليها,48921,,,new
1360,صنف,48902,,,new
1361,وضح,48875,,,new
1362,ويلز,48840,,,new
1363,لف,48835,,,new
1364,مفهوم,48812,,,new
1365,أمم,48732,,,new
1366,والأربعين,48670,,,new
1367,عالية,48659,,,new
1368,قلعة,48638,,,new
1369,البوابة,48568,,,new
1370,الديمقراطية,48555,,,new
1371,حذف,48544,,,new
1372,المباريات,48504,,,new
1373,إكس,48487,,,new
1374,جدا,48428,,,new
1375,فيينا,48427,,,new
1376,وجه,48420,,,new
1377,الكلي,48408,,,new
1378,أوائل,48388,,,new
1379,إسماعيل,48362,,,new
1380,محافظات,48339,,,new
1381,الخلايا,48305,,,new
1382,تبعه,48220,,,new
1383,مضرب,48184,,,new
1384,فنانون,48176,,,new
1385,بريطانية,48121,,,new
1386,الأساسية,48115,,,new
1387,الثامن,48112,,,new
1388,الجنسي,47992,,,new
1389,وسائل,47982,,,new
1390,حاليا,47927,,,new
1391,أستراليون,47851,,,new
1392,مساعد,47825,,,new
1393,إخراج,47815,,,new
1394,البلدة,47794,,,new
1395,بارزة,47783,,,new
1396,العملية,47781,,,new
1397,تشارلز,47762,,,new
1398,صربيا,47753,,,new
1399,بنسلفانيا,47714,,,new
1400,حالات,47700,,,new
1401,موسى,47633,,,new
1402,النار,47621,,,new
1403,الإعلام,47552,,,new
1404,سعد,47539,,,new
1405,شارع,47483,,,new
1406,ماري,47475,,,new
1407,بهارفارد,47467,,,new
1408,طاقة,47452,,,new
1409,الأصليين,47433,,,new
1410,وغيرها,47419,,,new
1411,رئيسية,47399,,,new
1412,الإدارة,47384,,,new
1413,وقال,47342,,,new
1414,فان,47312,,,new
1415,ظهور,47307,,,new
1416,لغات,47254,,,new
1417,المختلفة,47193,,,new
1418,دين,47182,,,new
1419,الولوج,47173,,,new
1420,صحفي,47133,,,new
1421,ميشيغان,47128,,,new
1422,غالب,47085,,,new
1423,رياضيات,47077,,,new
1424,للرجال,46942,,,new
1425,تاريخية,46934,,,new
1426,الطبية,46923,,,new
1427,ماليزيا,46899,,,new
1428,ترجمة,46845,,,new
1429,النهاية,46809,,,new
1430,دواوير,46803,,,new
1431,بحلول,46797,,,new
1432,الملكي,46753,,,new
1433,عنها,46733,,,new
1434,نقاط,46705,,,new
1435,الكاثوليكية,46687,,,new
1436,مضمن,46662,,,new
1437,الشمالي,46646,,,new
1438,نتائج,46598,,,new
1439,البيئة,46541,,,new
1440,عازفو,46533,,,new
1441,معالم,46499,,,new
1442,الصغير,46461,,,new
1443,ساعة,46355,,,new
1444,الطبيعية,46225,,,new
1445,عيد,46204,,,new
1446,الريف,46180,,,new
1447,قدر,46095,,,new
1448,طيور,46094,,,new
1449,كورونا,46085,,,new
1450,المشاركة,46074,,,new
1451,ميلان,46027,,,new
1452,النفس,45985,,,new
1453,طائرات,45756,,,new
1454,النبات,45711,,,new
1455,وصفت,45663,,,new
1456,يعد,45578,,,new
1457,المحكمة,45565,,,new
1458,المجموعات,45538,,,new
1459,اليابانية,45498,,,new
1460,الأدب,45454,,,new
1461,الثانوية,45424,,,new
1462,الحالات,45367,,,new
1463,بدلا,45338,,,new
1464,سجلت,45337,,,new
1465,مختلف,45333,,,new
1466,قيمة,45274,,,new
1467,الصينية,45269,,,new
1468,صوت,45255,,,new
1469,وحتى,45249,,,new
1470,أسترالي,45249,,,new
1471,شعراء,45191,,,new
1472,الأهلي,45184,,,new
1473,عصر,45164,,,new
1474,الفن,45117,,,new
1475,الجولة,45107,,,new
1476,اقتصاد,45105,,,new
1477,شريك,45037,,,new
1478,محلة,45023,,,new
1479,المسجد,45022,,,new
1480,أفغانستان,44957,,,new
1481,الدينية,44951,,,new
1482,الحسن,44944,,,new
1483,الشعار,44889,,,new
1484,الأقل,44825,,,new
1485,الأوراق,44757,,,new
1486,وليس,44735,,,new
1487,بيتر,44729,,,new
1488,عادل,44698,,,new
1489,كرواتيا,44655,,,new
1490,تعادل,44633,,,new
1491,الرابطة,44616,,,new
1492,أمير,44571,,,new
1493,شعر,44547,,,new
1494,بأنها,44528,,,new
1495,تابعة,44496,,,new
1496,باب,44417,,,new
1497,الحكومية,44391,,,new
1498,العظمى,44379,,,new
1499,الساعة,44347,,,new
1500,دعم,44312,,,new
1501,شيكاغو,44286,,,new
1502,أعلن,44256,,,new
1503,طريقة,44235,,,new
1504,الأعضاء,44229,,,new
1505,قبيلة,44171,,,new
1506,أداء,44166,,,new
1507,البوسنة,44160,,,new
1508,الأصول,44153,,,new
1509,ثورة,44133,,,new
1510,أولمبيون,44104,,,new
1511,العرقية,44011,,,new
1512,وطنية,43985,,,new
1513,واسع,43932,,,new
1514,مقيمة,43900,,,new
1515,الآثار,43888,,,new
1516,حماية,43878,,,new
1517,رابطة,43816,,,new
1518,فلكي,43799,,,new
1519,المرتبة,43787,,,new
1520,الحصول,43710,,,new
1521,الفلبين,43682,,,new
1522,جين,43634,,,new
1523,موسيقي,43625,,,new
1524,الجامعية,43609,,,new
1525,مبنى,43592,,,new
1526,ظهرت,43588,,,new
1527,مايكل,43558,,,new
1528,عسكريون,43545,,,new
1529,الفتاح,43542,,,new
1530,القيمة,43498,,,new
1531,تصفيات,43461,,,new
1532,آر,43450,,,new
1533,قيادة,43414,,,new
1534,الطيران,43365,,,new
1535,الجنوبي,43358,,,new
1536,تصنيفات,43334,,,new
1537,امرأة,43330,,,new
1538,سكاي,43330,,,new
1539,الصحية,43324,,,new
1540,وت,43318,,,new
1541,قادة,43267,,,new
1542,مكة,43254,,,new
1543,ياباني,43218,,,new
1544,أعلاه,43215,,,new
1545,مدار,43110,,,new
1546,القدرة,43017,,,new
1547,الترتيب,43000,,,new
1548,فتح,42990,,,new
1549,الصومال,42990,,,new
1550,الرتبة,42967,,,new
1551,للدراجات,42943,,,new
1552,تشير,42937,,,new
1553,أستاذ,42901,,,new
1554,فرنسية,42886,,,new
1555,وبلغت,42876,,,new
1556,ويسكونسن,42867,,,new
1557,تأسست,42856,,,new
1558,الأزواج,42854,,,new
1559,بنت,42819,,,new
1560,لأفضل,42819,,,new
1561,طواف,42797,,,new
1562,الكيميائية,42757,,,new
1563,وب,42738,,,new
1564,أساس,42686,,,new
1565,التلفزيون,42647,,,new
1566,منافسات,42616,,,new
1567,سوق,42582,,,new
1568,روس,42569,,,new
1569,مراهقة,42542,,,new
1570,التركية,42515,,,new
1571,تصوير,42494,,,new
1572,العراقي,42484,,,new
1573,المضرب,42478,,,new
1574,أرض,42473,,,new
1575,نفسها,42446,,,new
1576,هونغ,42437,,,new
1577,الهيئة,42407,,,new
1578,والده,42402,,,new
1579,الفنون,42399,,,new
1580,فارس,42384,,,new
1581,العمرية,42381,,,new
1582,العلاج,42368,,,new
1583,شف,42368,,,new
1584,معرف,42361,,,new
1585,القمر,42358,,,new
1586,مصطلح,42321,,,new
1587,اليهود,42222,,,new
1588,دبي,42215,,,new
1589,يعود,42150,,,new
1590,التراث,42120,,,new
1591,الحاكم,42065,,,new
1592,هندسة,42020,,,new
1593,السوبر,42010,,,new
1594,بلغاريا,41890,,,new
1595,للمعلومات,41876,,,new
1596,الكويكب,41874,,,new
1597,الجائزة,41849,,,new
1598,صناديق,41849,,,new
1599,الشام,41844,,,new
1600,اكت,41837,,,new
1601,الجسم,41836,,,new
1602,وزن,41774,,,new
1603,القلب,41712,,,new
1604,رم,41696,,,new
1605,واقعة,41657,,,new
1606,الأسلحة,41648,,,new
1607,مصرية,41613,,,new
1608,كويكب,41580,,,new
1609,حل,41543,,,new
1610,المعروف,41534,,,new
1611,منتصف,41515,,,new
1612,الأسبوع,41463,,,new
1613,علامة,41458,,,new
1614,برلين,41440,,,new
1615,التحرير,41395,,,new
1616,العمال,41386,,,new
1617,جرم,41358,,,new
1618,فن,41327,,,new
1619,وق,41281,,,new
1620,مصري,41274,,,new
1621,تتبع,41257,,,new
1622,بعنوان,41208,,,new
1623,إسقاط,41130,,,new
1624,رغم,41087,,,new
1625,الوسطي,41073,,,new
1626,دخول,41014,,,new
1627,الآخر,40995,,,new
1628,المدارية,40981,,,new
1629,معاهدات,40966,,,new
1630,مصورة,40961,,,new
1631,دير,40916,,,new
1632,مستوطنة,40903,,,new
1633,تقوم,40896,,,new
1634,التشيك,40878,,,new
1635,تدريس,40871,,,new
1636,البنك,40805,,,new
1637,قطاع,40795,,,new
1638,جان,40795,,,new
1639,ماريا,40785,,,new
1640,كبر,40772,,,new
1641,المستوى,40741,,,new
1642,تمت,40737,,,new
1643,يشير,40724,,,new
1644,لاحقة,40701,,,new
1645,أسس,40668,,,new
1646,الأصنوفة,40636,,,new
1647,إنجليزية,40626,,,new
1648,الحيوانات,40619,,,new
1649,يمنية,40586,,,new
1650,موسوعة,40584,,,new
1651,القتال,40563,,,new
1652,سميث,40542,,,new
1653,مسرحية,40521,,,new
1654,توزيع,40491,,,new
1655,حملة,40450,,,new
1656,خدمة,40443,,,new
1657,زوجي,40433,,,new
1658,انتقل,40400,,,new
1659,تحمل,40398,,,new
1660,رفع,40371,,,new
1661,بمتوسط,40352,,,new
1662,موسكو,40315,,,new
1663,الذهبية,40298,,,new
1664,معه,40286,,,new
1665,الموجودة,40221,,,new
1666,للشباب,40174,,,new
1667,العلماء,40137,,,new
1668,سيارات,40123,,,new
1669,النص,40119,,,new
1670,المعيشية,40094,,,new
1671,الإيطالية,40050,,,new
1672,ريتشارد,40039,,,new
1673,مدرب,39964,,,new
1674,الطبيعي,39958,,,new
1675,خسارة,39912,,,new
1676,الطبقة,39909,,,new
1677,بارك,39903,,,new
1678,للأسر,39896,,,new
1679,آثار,39868,,,new
1680,السوري,39860,,,new
1681,بلدات,39854,,,new
1682,إنجليزي,39792,,,new
1683,طالب,39774,,,new
1684,تعد,39772,,,new
1685,والتبعيات,39767,,,new
1686,استعمال,39729,,,new
1687,ملكية,39705,,,new
1688,برازيليون,39680,,,new
1689,الرواية,39666,,,new
1690,عباس,39665,,,new
1691,أمين,39662,,,new
1692,العهد,39626,,,new
1693,الشعر,39603,,,new
1694,السباق,39587,,,new
1695,الكيمياء,39579,,,new
1696,نيجيريا,39560,,,new
1697,نواب,39446,,,new
1698,موسيقية,39441,,,new
1699,متعدد,39439,,,new
1700,السنوات,39428,,,new
1701,قصص,39418,,,new
1702,تألفت,39417,,,new
1703,يعني,39412,,,new
1704,الشيوخ,39405,,,new
1705,أنمي,39396,,,new
1706,القصة,39389,,,new
1707,راجع,39378,,,new
1708,والهرسك,39362,,,new
1709,اللون,39305,,,new
1710,سفارة,39282,,,new
1711,ميزوري,39269,,,new
1712,إجراء,39266,,,new
1713,قرن,39252,,,new
1714,المديرية,39241,,,new
1715,جزاء,39239,,,new
1716,نشط,39198,,,new
1717,إسبان,39179,,,new
1718,شرح,39178,,,new
1719,المادة,39170,,,new
1720,حكام,39151,,,new
1721,وصل,39133,,,new
1722,كوكبة,39127,,,new
1723,التعاون,39082,,,new
1724,كيلومتر,39062,,,new
1725,الإمام,39052,,,new
1726,مارك,39046,,,new
1727,وفاته,39028,,,new
1728,حرة,39017,,,new
1729,قاصر,38995,,,new
1730,قصير,38970,,,new
1731,كهل,38969,,,new
1732,الفصيلة,38926,,,new
1733,خدمات,38910,,,new
1734,سابقا,38875,,,new
1735,مقتل,38868,,,new
1736,مارتن,38851,,,new
1737,بيل,38781,,,new
1738,اكتشافات,38774,,,new
1739,يحتوي,38741,,,new
1740,عرب,38739,,,new
1741,الغرب,38727,,,new
1742,بقيادة,38702,,,new
1743,هشام,38685,,,new
1744,توثيق,38672,,,new
1745,كونغ,38671,,,new
1746,بلا,38650,,,new
1747,فرع,38584,,,new
1748,العالي,38569,,,new
1749,كاتبات,38450,,,new
1750,لغ,38419,,,new
1751,بنك,38402,,,new
1752,بذلك,38398,,,new
1753,الإصدار,38292,,,new
1754,أعلنت,38287,,,new
1755,معيلات,38268,,,new
1756,مستشفى,38243,,,new
1757,حق,38221,,,new
1758,محتوى,38216,,,new
1759,معنى,38189,,,new
1760,معروفة,38159,,,new
1761,مؤرشفة,38097,,,new
1762,غينيا,38085,,,new
1763,إدوارد,38049,,,new
1764,مدى,38044,,,new
1765,مؤتمر,37962,,,new
1766,أغاني,37948,,,new
1767,فضية,37947,,,new
1768,كريم,37911,,,new
1769,الماضي,37830,,,new
1770,الس,37778,,,new
1771,سلطان,37776,,,new
1772,الدورة,37773,,,new
1773,منيسوتا,37773,,,new
1774,صلاح,37769,,,new
1775,الفوز,37752,,,new
1776,بكر,37738,,,new
1777,سميت,37732,,,new
1778,يصل,37719,,,new
1779,تعلم,37698,,,new
1780,القروية,37656,,,new
1781,حديث,37649,,,new
1782,القالب,37643,,,new
1783,جمع,37618,,,new
1784,مهاجرون,37601,,,new
1785,العين,37582,,,new
1786,الروسي,37549,,,new
1787,تبديل,37527,,,new
1788,قبرص,37504,,,new
1789,ستخدم,37463,,,new
1790,الشركات,37451,,,new
1791,عثمان,37440,,,new
1792,الحجم,37428,,,new
1793,الفنية,37424,,,new
1794,مركب,37401,,,new
1795,جو,37398,,,new
1796,الحديدية,37397,,,new
1797,لأنه,37334,,,new
1798,إسلام,37297,,,new
1799,رسمية,37278,,,new
1800,الكريم,37277,,,new
1801,العزلة,37231,,,new
1802,النظر,37229,,,new
1803,جوزيف,37174,,,new
1804,مثال,37158,,,new
1805,أهمية,37139,,,new
1806,الحضر,37133,,,new
1807,قابل,37104,,,new
1808,مجموع,37103,,,new
1809,شاعر,37093,,,new
1810,إسباني,37081,,,new
1811,الفلسطيني,37052,,,new
1812,طوكيو,37029,,,new
1813,ميداليات,37026,,,new
1814,إيطالي,37026,,,new
1815,فيتنام,37009,,,new
1816,المدارس,37004,,,new
1817,المؤتمر,36989,,,new
1818,الأشعة,36955,,,new
1819,أخبار,36914,,,new
1820,الجزائرية,36872,,,new
1821,التقليدية,36841,,,new
1822,فهو,36839,,,new
1823,نيومكسيكو,36810,,,new
1824,مصريون,36809,,,new
1825,فنزويلا,36805,,,new
1826,وحدات,36801,,,new
1827,ية,36767,,,new
1828,الجبل,36738,,,new
1829,بحرية,36693,,,new
1830,نت,36692,,,new
1831,دوريات,36678,,,new
1832,الخدمات,36653,,,new
1833,النقاط,36650,,,new
1834,أوروبية,36648,,,new
1835,حلقات,36643,,,new
1836,كارل,36599,,,new
1837,وكاتبات,36596,,,new
1838,لهذه,36587,,,new
1839,مالك,36557,,,new
1840,فهي,36552,,,new
1841,جولة,36496,,,new
1842,الكومنولث,36487,,,new
1843,ظل,36414,,,new
1844,مربع,36408,,,new
1845,ناصر,36408,,,new
1846,حلب,36399,,,new
1847,عيسى,36382,,,new
1848,المسلسل,36375,,,new
1849,القائد,36363,,,new
1850,يحيى,36359,,,new
1851,الكاتب,36346,,,new
1852,باليمن,36332,,,new
1853,الجوي,36325,,,new
1854,اكتشفت,36318,,,new
1855,أغان,36306,,,new
1856,تطور,36298,,,new
1857,زاوية,36287,,,new
1858,التعديلات,36287,,,new
1859,أكاديمية,36283,,,new
1860,كوارث,36271,,,new
1861,محاولة,36270,,,new
1862,حجة,36269,,,new
1863,ولايات,36266,,,new
1864,سنغافورة,36263,,,new
1865,مواضيع,36234,,,new
1866,مغني,36153,,,new
1867,المحرر,36151,,,new
1868,إطار,36104,,,new
1869,حقيقيات,36080,,,new
1870,الشخص,36077,,,new
1871,منع,36054,,,new
1872,يحدث,36047,,,new
1873,الاحتلال,36044,,,new
1874,الطلاب,36038,,,new
1875,الإلكتروني,36026,,,new
1876,بحيرة,36012,,,new
1877,تسجيل,35982,,,new
1878,خوسيه,35969,,,new
1879,وطني,35957,,,new
1880,أنظمة,35950,,,new
1881,فلسفة,35949,,,new
1882,مانشستر,35872,,,new
1883,الكبيرة,35871,,,new
1884,بيرو,35824,,,new
1885,مساجد,35808,,,new
1886,بالجمهورية,35806,,,new
1887,الأفارقة,35801,,,new
1888,مداري,35780,,,new
1889,تعليم,35756,,,new
1890,بوب,35743,,,new
1891,النتيجة,35698,,,new
1892,النبي,35695,,,new
1893,كتلة,35688,,,new
1894,جاك,35686,,,new
1895,إيطاليون,35655,,,new
1896,مرات,35652,,,new
1897,تايلاند,35652,,,new
1898,مقر,35646,,,new
1899,الدار,35543,,,new
1900,نور,35537,,,new
1901,الحرارة,35530,,,new
1902,سيف,35520,,,new
1903,مسلم,35481,,,new
1904,إتش,35436,,,new
1905,للغاية,35435,,,new
1906,الأهمية,35427,,,new
1907,آلي,35423,,,new
1908,سلاح,35405,,,new
1909,الاقتصادي,35366,,,new
1910,التسجيل,35345,,,new
1911,أجزاء,35340,,,new
1912,عمو,35338,,,new
1913,بدء,35308,,,new
1914,البرنامج,35296,,,new
1915,خطوط,35292,,,new
1916,يقول,35288,,,new
1917,مختلطين,35253,,,new
1918,عرقين,35227,,,new
1919,تكن,35190,,,new
1920,ربما,35146,,,new
1921,نيوز,35068,,,new
